2,3126,Jack Sparrow
3,3126,Angelica
4,3126,Hector Barbossa
5,3126,Edward "Blackbeard" Teach
6,3126,Joshamee Gibbs
7,3126,Philip
8,3126,Syrena
9,3127,Tony Stark / Iron Man
10,3127,Thor Odinson
11,3127,Bruce Banner / Hulk
12,3127,Steve Rogers / Captain America
13,3127,Natasha Romanoff / Black Widow
14,3127,Clint Barton / Hawkeye
15,3127,Ultron (voice)
16,3128,Tony Stark / Iron Man
17,3128,Thor Odinson
18,3128,Bruce Banner / Hulk
19,3128,Steve Rogers / Captain America
20,3128,Natasha Romanoff / Black Widow
21,3128,Stephen Strange / Doctor Strange
22,3128,Peter Parker / Spider-Man
23,3129,Batman / Bruce Wayne
24,3129,Superman / Clark Kent /  Kal-El
25,3129,Lois Lane
26,3129,Wonder Woman / Diana Prince
27,3129,The Flash / Barry Allen
28,3129,Aquaman / Arthur Curry
29,3129,Cyborg / Victor Stone
30,3130,James Bond
31,3130,Franz Oberhauser / Ernst Stavro Blofeld
32,3130,Dr. Madeleine Swann
33,3130,M
34,3130,Lucia Sciarra
35,3130,Q
36,3130,Eve Moneypenny
37,3131,Han Solo
38,3131,Chewbacca
39,3131,Tobias Beckett
40,3131,Qi'ra
41,3131,Lando Calrissian
42,3131,Val
43,3131,L3-37
44,3132,John Carter
45,3132,Dejah Thoris
46,3132,Sola
47,3132,Matai Shang
48,3132,Tardos Mors
49,3132,Sab Than
50,3132,Kantos Kan
51,3133,Bruce Wayne / Batman
52,3133,Clark Kent / Superman / Kal-El
53,3133,Lex Luthor
54,3133,Diana Prince / Wonder Woman
55,3133,Lois Lane
56,3133,Martha Kent
57,3133,Alfred Pennyworth
58,3134,Scar (voice)
59,3134,Zazu (voice)
60,3134,Simba (voice)
61,3134,Mufasa (voice)
62,3134,Rafiki (voice)
63,3134,Sarabi (voice)
64,3134,Nala (voice)
65,3135,Rapunzel (voice)
66,3135,Flynn Rider (voice)
67,3135,Mother Gothel (voice)
68,3135,Stabbington Brother (voice)
69,3135,Hook Hand Thug (voice)
70,3135,Vlad (voice)
71,3135,Captain of the Guard (voice)
72,3136,Spider-Man / Peter Parker
73,3136,Mary Jane Watson
74,3136,New Goblin / Harry Osborn
75,3136,Sandman / Flint Marko
76,3136,Venom / Eddie Brock
77,3136,Gwen Stacy
78,3136,May Parker
79,3137,Steve Rogers / Captain America
80,3137,Tony Stark / Iron Man
81,3137,Natasha Romanoff / Black Widow
82,3137,James 'Bucky' Barnes / Winter Soldier
83,3137,T'Challa / Black Panther
84,3137,Baron Helmut Zemo
85,3137,Wanda Maximoff / Scarlet Witch
86,3138,Thor Odinson
87,3138,Jane Foster / The Mighty Thor
88,3138,Gorr
89,3138,King Valkyrie
90,3138,Korg / Old Kronan God (voice)
91,3138,Sif
92,3138,Zeus
93,3139,Harry Potter
94,3139,Ron Weasley
95,3139,Hermione Granger
96,3139,Horace Slughorn
97,3139,Albus Dumbledore
98,3139,Draco Malfoy
99,3139,Severus Snape
100,3140,Bilbo Baggins
101,3140,Gandalf
102,3140,Thorin Oakenshield
103,3140,Balin
104,3140,Bofur
105,3140,Legolas
106,3140,Bard / Girion
107,3141,Bilbo Baggins
108,3141,Gandalf
109,3141,Thorin Oakenshield
110,3141,Bard
111,3141,Legolas
112,3141,Thranduil
113,3141,Tauriel
114,3142,Dominic Toretto
115,3142,Deckard Shaw
116,3142,Luke Hobbs
117,3142,Letty Ortiz
118,3142,Roman Pearce
119,3142,Tej Parker
120,3142,Cipher
121,3143,James Bond
122,3143,Dr. Madeleine Swann
123,3143,Lyutsifer Safin
124,3143,Nomi
125,3143,M
126,3143,Q
127,3143,Eve Moneypenny
128,3144,Jake Sully
129,3144,Neytiri
130,3144,Dr. Grace Augustine
131,3144,Colonel Miles Quaritch
132,3144,Trudy Chacon
133,3144,Parker Selfridge
134,3144,Norm Spellman
135,3145,Clark Kent / Superman
136,3145,Lex Luthor
137,3145,Lois Lane
138,3145,Richard White
139,3145,Kitty Kowalski
140,3145,Perry White
141,3145,Jimmy Olsen
142,3146,Bruce Wayne / Batman
143,3146,Alfred Pennyworth
144,3146,James Gordon
145,3146,Selina Kyle / Catwoman
146,3146,Bane
147,3146,Miranda Tate / Talia al Ghul
148,3146,John Blake
149,3147,Jack Sparrow
150,3147,Armando Salazar
151,3147,Hector Barbossa
152,3147,Henry Turner
153,3147,Carina Smyth
154,3147,Joshamee Gibbs
155,3147,Shansa
156,3148,James Bond
157,3148,Camille Montes
158,3148,Dominic Greene
159,3148,M
160,3148,René Mathis
161,3148,Strawberry Fields
162,3148,Felix Leiter
163,3149,Tony Stark / Iron Man
164,3149,Steve Rogers / Captain America
165,3149,Bruce Banner / The Hulk
166,3149,Thor Odinson
167,3149,Natasha Romanoff / Black Widow
168,3149,Clint Barton / Hawkeye
169,3149,Loki
170,3150,Clark Kent / Superman / Kal-El
171,3150,Lois Lane
172,3150,General Zod
173,3150,Martha Kent
174,3150,Jor-El
175,3150,Jonathan Kent
176,3150,Perry White
177,3151,Prince Caspian
178,3151,Lucy Pevensie
179,3151,Edmund Pevensie
180,3151,Peter Pevensie
181,3151,Susan Pevensie
182,3151,King Miraz
183,3151,Trumpkin
184,3152,Tonto
185,3152,John Reid / The Lone Ranger
186,3152,Cole
187,3152,Butch Cavendish
188,3152,Red Harrington
189,3152,Fuller
190,3152,Dan Reid
191,3153,Peter Parker / Spider-Man
192,3153,Gwen Stacy
193,3153,Dr. Curt Connors / The Lizard
194,3153,Uncle Ben
195,3153,Aunt May
196,3153,Captain Stacy
197,3153,Rajit Ratha
198,3154,Lieutenant Alex Hopper
199,3154,Captain Yugi Nagata
200,3154,Petty Officer Cora 'Weps' Raikes
201,3154,Sam
202,3154,Lieutenant Colonel Mick Canales
203,3154,Cal Zapata
204,3154,Admiral Shane
205,3155,Cade Yeager
206,3155,Col. William Lennox
207,3155,Wizard Merlin
208,3155,Sir Edmund Burton
209,3155,Izabella
210,3155,Vivian Wembly
211,3155,Jimmy
212,3156,Owen Grady
213,3156,Claire Dearing
214,3156,Gray Mitchell
215,3156,Zach Mitchell
216,3156,Vic Hoskins
217,3156,Dr. Henry Wu
218,3156,Barry Sembène
219,3157,Agent J
220,3157,Agent K
221,3157,Young Agent K
222,3157,Boris The Animal
223,3157,Agent O
224,3157,Griffin
225,3157,Colonel
226,3158,Sam Witwicky
227,3158,Mikaela Banes
228,3158,Major Lennox
229,3158,USAF Chief Master Sergeant Epps
230,3158,Seymour Simmons
231,3158,Leo Spitz
232,3158,Ron Witwicky
233,3159,Cade Yeager
234,3159,Joshua Joyce
235,3159,Harold Attinger
236,3159,Tessa Yeager
237,3159,Shane Dyson
238,3159,Darcy Tirrel
239,3159,Su Yueming
240,3160,Charles Xavier / Professor X
241,3160,Eric Lehnsherr / Magneto
242,3160,Logan / Wolverine
243,3160,Jean Grey / Dark Phoenix
244,3160,Ororo Munroe / Storm
245,3160,Marie D'Ancanto / Rogue
246,3160,Dr. Henry 'Hank' McCoy / Beast
247,3161,Robin of Loxley
248,3161,Yahya / John
249,3161,Sheriff of Nottingham
250,3161,Marian
251,3161,Will Scarlet
252,3161,Friar Tuck
253,3161,Guy of Gisbourne
254,3162,Ann Darrow
255,3162,Carl Denham
256,3162,Jack Driscoll
257,3162,Kong / Lumpy
258,3162,Preston
259,3162,Captain Englehorn
260,3162,Jimmy
261,3163,Marisa Coulter
262,3163,Lord Asriel
263,3163,Lyra Belacqua
264,3163,Roger Parslow
265,3163,Pantalaimon (voice)
266,3163,Iorek Byrnison (voice)
267,3163,Serafina Pekkala
268,3164,The Protagonist
269,3164,Neil
270,3164,Kat
271,3164,Andrei Sator
272,3164,Priya
273,3164,Mahir
274,3164,Ives
275,3165,Peter Parker / Spider-Man
276,3165,Michelle 'MJ' Jones
277,3165,Stephen Strange / Doctor Strange
278,3165,Ned Leeds
279,3165,Harold 'Happy' Hogan
280,3165,Max Dillon / Electro
281,3165,Norman Osborn / Green Goblin
282,3166,King T'Challa / Black Panther
283,3166,N'Jadaka / Erik 'Killmonger' Stevens
284,3166,Nakia
285,3166,Okoye
286,3166,Everett K. Ross
287,3166,W'Kabi
288,3166,Shuri
289,3167,Jack Dawson
290,3167,Rose DeWitt Bukater
291,3167,Cal Hockley
292,3167,Molly Brown
293,3167,Ruth DeWitt Bukater
294,3167,Old Rose
295,3167,Thomas Andrews
296,3168,Bob Parr / Mr. Incredible (voice)
297,3168,Helen Parr / Elastigirl (voice)
298,3168,Violet Parr (voice)
299,3168,Dashiell 'Dash' Parr (voice)
300,3168,Lucius Best / Frozone (voice)
301,3168,Winston Deavor (voice)
302,3168,Evelyn Deavor (voice)
303,3169,Jyn Erso
304,3169,Captain Cassian Andor
305,3169,K-2SO
306,3169,Chirrut Imwe
307,3169,Baze Malbus
308,3169,Director Orson Krennic
309,3169,Grand Moff Tarkin
310,3170,Marlin (voice)
311,3170,Dory (voice)
312,3170,Hank (voice)
313,3170,Nemo (voice)
314,3170,Jenny (voice)
315,3170,Charlie (voice)
316,3170,Bailey (voice)
317,3171,Woody (voice)
318,3171,Buzz Lightyear (voice)
319,3171,Bo Peep (voice)
320,3171,Forky (voice)
321,3171,Ducky (voice)
322,3171,Bonnie (voice)
